嗚呼,ああ,aa,Ah!;Oh!;Alas!
軒,のき,noki,eaves
軒,のき,noki,eaves
軒並み,のきなみ,nokinami,row of houses
鋸,のこぎり,nokogiri,saw
残す,のこす,nokosu,to leave (behind  over);to bequeath;to save;to reserve
残らず,のこらず,nokorazu,all;entirely;completely;without exception
残り,のこり,nokori,remnant;residue;remaining;left-over
残る,のこる,nokoru,to remain;to be left
乗せる,のせる,noseru,to place on (something);to take on board;to give a ride;to let (one) take part;to impose on;to record;to mention;to load (luggage);to publish;to run (an ad)
載せる,のせる,noseru,to place on (something);to take on board;to give a ride;to let (one) take part;to impose on;to record;to mention;to load (luggage);to publish;to run (an ad)
覗く,のぞく,nozoku,to peep in;to look in;to peek in;to stick out
除く,のぞく,nozoku,to remove;to exclude;to except
望ましい,のぞましい,nozomashii,desirable;hoped for
望み,のぞみ,nozomi,wish;desire
臨む,のぞむ,nozomu,to look out on;to face;to deal with;to attend (function)
望む,のぞむ,nozomu,to desire;to wish for;to see;to command (a view of)
乗っ取る,のっとる,nottoru,to capture;to occupy;to usurp
喉,のど,nodo,throat
長閑,のどか,nodoka,tranquil;calm;quiet
罵る,ののしる,nonoshiru,to speak ill of;to abuse
伸ばす,のばす,nobasu,to lengthen;to stretch;to reach out;to postpone;to prolong;to extend;to grow (beard)
延ばす,のばす,nobasu,to lengthen;to stretch;to reach out;to postpone;to prolong;to extend;to grow (beard)
伸びる,のびる,nobiru,to stretch;to extend;to make progress;to grow (beard  body height);to grow stale (soba);to lengthen;to spread;to be postponed;to be straightened;to be flattened;to be smoothed;to be exhausted
延びる,のびる,nobiru,to be prolonged
延べ,のべ,nobe,futures;credit (buying);stretching;total
述べる,のべる,noberu,to state;to express;to mention
上り,のぼり,nobori,up-train (going to Tokyo);ascent
上る,のぼる,noboru,to rise;to ascend;to be promoted;to go up;to climb;to go to (the capital);to add up to;to advance (in price);to sail up;to come up (on the agenda)
昇る,のぼる,noboru,to arise;to ascend;to go up
登る,のぼる,noboru,to climb
飲み込む,のみこむ,nomikomu,to gulp down;to swallow deeply;to understand;to take in;to catch on to;to learn;to digest
飲む,のむ,nomu,to drink
糊,のり,nori,paste;starch
乗り換え,のりかえ,norikae,transfer (trains  buses  etc.)
乗り換える,のりかえる,norikaeru,to transfer (trains);to change (bus  train)
乗り越し,のりこし,norikoshi,riding past (one's station)
乗り込む,のりこむ,norikomu,to board;to embark on;to get into (a car);to ship (passengers);to man (a ship);to help (someone) into;to march into;to enter
乗る,のる,noru,to get on;to ride in;to board;to mount;to get up on;to spread (paints);to be taken in;to share in;to join;to be found in (a dictionary);to feel like doing;to be mentioned in;to be in harmony with
載る,のる,noru,to appear (in print);to be recorded
,のろのろ,noronoro,slowly;sluggishly
呑気,のんき,nonki,carefree;optimistic;careless;reckless;heedless
,のんびり,nonbiri,carefree;at leisure
刃,は,ha,edge (of a sword)
歯,は,ha,tooth
葉,は,ha,leaf
派,は,ha,clique;faction;school
把握,はあく,haaku,grasp;catch;understanding
肺,はい,hai,lung
,はい,hai,yes
,はい,hai,yes
灰色,はいいろ,haiiro,grey;gray;ashen
廃棄,はいき,haiki,annullment;disposal;abandon;scrap;discarding;repeal
配給,はいきゅう,haikyuu,distribution (eg. films  rice)
俳句,はいく,haiku,haiku poetry (17-syllable poem usually in 3 lines of 5  7 and 5 syllables)
配偶者,はいぐうしゃ,haiguusha,spouse;wife;husband
拝啓,はいけい,haikei,Dear (so and so)
背景,はいけい,haikei,background;scenery;setting;circumstance
拝見,はいけん,haiken,seeing;look at
背後,はいご,haigo,back;rear
灰皿,はいさら,haisara,ashtray
廃止,はいし,haishi,abolition;repeal
拝借,はいしゃく,haishaku,borrowing
排除,はいじょ,haijyo,exclusion;removal;rejection
排水,はいすい,haisui,drainage
敗戦,はいせん,haisen,defeat;losing a war
配達,はいたつ,haitatsu,delivery;distribution
配置,はいち,haichi,arrangement (of resources);disposition
配布,はいふ,haifu,distribution
配分,はいぶん,haibun,distribution;allotment
敗北,はいぼく,haiboku,defeat (as a verb it means 'to be defeated')
俳優,はいゆう,haiyuu,actor;actress;player;performer
配慮,はいりょ,hairyo,consideration;concern;forethought
配列,はいれつ,hairetsu,arrangement;array (programming)
這う,はう,hau,to creep;to crawl
映える,はえる,haeru,to shine;to look attractive;to look pretty
生える,はえる,haeru,to grow;to spring up;to cut (teeth)
墓,はか,haka,grave;tomb
破壊,はかい,hakai,destruction
博士,はかせ,hakase,doctorate;PhD
墓地,はかち,hakachi,cemetery;graveyard
捗る,はかどる,hakadoru,to make progress;to move right ahead (with the work);to advance
果ない,はかない,hakanai,fleeting;transient;short-lived;momentary;vain;fickle;miserable;empty;ephemeral
秤,はかり,hakari,scales;weighing machine
諮る,はかる,hakaru,to consult with;to confer
図る,はかる,hakaru,to plot;to attempt;to plan;to take in;to deceive;to devise;to design;to refer A to B
計る,はかる,hakaru,to measure;to weigh;to survey;to time (sound  gauge  estimate)
量る,はかる,hakaru,to measure;to weigh;to survey;to time (sound  gauge  estimate)
測る,はかる,hakaru,to measure;to weigh;to survey;to time (sound  gauge  estimate)
葉書,はがき,hagaki,postcard
剥がす,はがす,hagasu,to tear off;to peel off;to rip off;to strip off;to skin;to flay;to disrobe;to deprive of;to detach;to disconnect
破棄,はき,haki,revocation;annulment;breaking (e.g. treaty)
吐き気,はきけ,hakike,nausea;sickness in the stomach
,はきはき,hakihaki,lucidly
掃く,はく,haku,to sweep;to brush;to gather up
履く,はく,haku,to wear;to put on (lower body)
掃く,はく,haku,to sweep;to brush;to gather up
泊,はく,haku,counter for nights of a stay
迫害,はくがい,hakugai,persecution
拍手,はくしゅ,hakushu,clapping hands;applause
薄弱,はくじゃく,hakujyaku,feebleness;weakness;weak
白状,はくじょう,hakujyou,confession
博物館,はくぶつかん,hakubutsukan,museum
剥ぐ,はぐ,hagu,to tear off;to peel off;to rip off;to strip off;to skin;to flay;to disrobe;to deprive of
歯車,はぐるま,haguruma,gear
派遣,はけん,haken,dispatch;send
激しい,はげしい,hageshii,violent;vehement;intense;furious;tempestuous
励ます,はげます,hagemasu,to encourage;to cheer;to raise (the voice)
励む,はげむ,hagemu,to be zealous;to brace oneself;to endeavour;to strive;to make an effort
剥げる,はげる,hageru,to come off;to be worn off;to fade;to discolor
箱,はこ,hako,box
運ぶ,はこぶ,hakobu,to transport
挟まる,はさまる,hasamaru,to get between;to be caught in
鋏,はさみ,hasami,scissors
破産,はさん,hasan,(personal) bankruptcy
橋,はし,hashi,bridge
端,はし,hashi,end (e.g. of street);edge;tip;margin;point
箸,はし,hashi,chopsticks
橋,はし,hashi,bridge
柱,はしら,hashira,pillar;post
走る,はしる,hashiru,to run
橋渡し,はしわたし,hashiwatashi,bridge building;mediation
恥,はじ,haji,shame;embarrassment
弾く,はじく,hajiku,to flip;to snap
弾く,はじく,hajiku,to flip;to snap
始まり,はじまり,hajimari,origin;beginning
始まる,はじまる,hajimaru,to begin
始め,はじめ,hajime,beginning;start;origin
初めて,はじめて,hajimete,for the first time
始めまして,はじめまして,hajimemashite,How do you do?;I am glad to meet you
始める,はじめる,hajimeru,to start;to begin
始める,はじめる,hajimeru,to start;to begin
恥じらう,はじらう,hajirau,to feel shy;to be bashful;to blush
恥じる,はじる,hajiru,to feel ashamed
蓮,はす,hasu,lotus
筈,はず,hazu,it should be so
恥ずかしい,はずかしい,hazukashii,shy;ashamed;embarrassed
外す,はずす,hazusu,to unfasten;to remove
弾む,はずむ,hazumu,to spring;to bound;to bounce;to be stimulated;to be encouraged;to get lively;to treat oneself to;to splurge on
外れる,はずれる,hazureru,to be disconnected;to get out of place;to be off;to be out (e.g. of gear)
破損,はそん,hason,damage
旗,はた,hata,flag
機,はた,hata,loom
畑,はたけ,hatake,field
果たして,はたして,hatashite,as was expected;really
果たす,はたす,hatasu,to accomplish;to fulfill;to carry out;to achieve
二十歳,はたち,hatachi,20 years old;20th year
働き,はたらき,hataraki,work;workings;activity;ability;talent;function;labor;action;operation;movement;motion;conjugation;inflection;achievement
働く,はたらく,hataraku,to work;to labor;to do;to act;to commit;to practise;to work on;to come into play;to be conjugated;to reduce the price
肌,はだ,hada,skin;body;grain;texture;disposition
裸,はだか,hadaka,naked;nude;bare
肌着,はだぎ,hadagi,underwear;lingerie;singlet;chemise
裸足,はだし,hadashi,barefoot
八,はち,hachi,(num) eight
鉢,はち,hachi,a bowl;a pot;a basin;a flowerpot;a crown;a brainpan
蜂蜜,はちみつ,hachimitsu,honey
発揮,はっき,haki,exhibition;demonstration;utilization;display
,はっきり,hakkiri,clearly;plainly;distinctly
発掘,はっくつ,hakkutsu,excavation;exhumation
発見,はっけん,hakken,discovery
発行,はっこう,hakkou,issue (publications)
発車,はっしゃ,hasha,departure of a vehicle
発射,はっしゃ,hasha,firing;shooting;discharge;catapult
発生,はっせい,hassei,outbreak;spring forth;occurrence;incidence;origin
発想,はっそう,hassou,expression (music);conceptualization
発足,はっそく,hassoku,starting;inauguration
発達,はったつ,hattatsu,development;growth
発展,はってん,hatten,development;growth
発表,はっぴょう,hapyou,announcement;publication
初,はつ,hatsu,first;new
発,はつ,hatsu,departure;beginning;counter for gunshots
発育,はついく,hatsuiku,(physical) growth;development
発音,はつおん,hatsuon,pronunciation
二十日,はつか,hatsuka,twenty days;twentieth (day of the month)
発芽,はつが,hatsuga,burgeoning
発言,はつげん,hatsugen,utterance;speech;proposal
発電,はつでん,hatsuden,generation (e.g. power)
発売,はつばい,hatsubai,sale
発病,はつびょう,hatsubyou,attack (disease)
初耳,はつみみ,hatsumimi,something heard for the first time
発明,はつめい,hatsumei,invention
果て,はて,hate,the end;the extremity;the limit(s);the result
果てる,はてる,hateru,to end;to be finished;to be exhausted;to die;to perish
派手,はで,hade,showy;loud;gay;flashy;gaudy
花,はな,hana,flower
鼻,はな,hana,nose
話,はなし,hanashi,talk;speech;chat;story;conversation
話し合い,はなしあい,hanashiai,discussion;conference
話し合う,はなしあう,hanashiau,to discuss;to talk together
話し掛ける,はなしかける,hanashikakeru,to accost a person;to talk (to someone)
話中,はなしちゅう,hanashichuu,while talking;the line is busy
話す,はなす,hanasu,to speak
離す,はなす,hanasu,to part;divide;separate
放す,はなす,hanasu,to separate;to set free
甚だ,はなはだ,hanahada,very;greatly;exceedingly
甚だしい,はなはだしい,hanahadashii,extreme;excessive;terrible;intense;severe;serious;tremendous;heavy (damage)
華々しい,はなばなしい,hanabanashii,brilliant;magnificent;spectacular
花火,はなび,hanabi,fireworks
花びら,はなびら,hanabira,(flower) petal
花見,はなみ,hanami,cherry-blossom viewing;flower viewing
華やか,はなやか,hanayaka,gay;showy;brilliant;gorgeous;florid
花嫁,はなよめ,hanayome,bride
離れる,はなれる,hanareru,to be separated from;to leave;to go away;to be a long way off
放れる,はなれる,hanareru,to leave;to get free;to cut oneself off
羽,はね,hane,feather;plume;wing
羽,はね,hane,feather;plume;wing
跳ねる,はねる,haneru,to jump;to leap;to prance;to spring up;to bound;to hop
母,はは,haha,mother
母親,ははおや,hahaoya,mother
幅,はば,haba,width;breadth
阻む,はばむ,habamu,to keep someone from doing;to stop;to prevent;to check;to hinder;to obstruct;to oppose;to thwart
省く,はぶく,habuku,to omit;to eliminate;to curtail;to economize
破片,はへん,hahen,fragment;splinter;broken piece
浜,はま,hama,beach;seashore
浜辺,はまべ,hamabe,beach;foreshore
填まる,はまる,hamaru,to get into;to go into;to fit;to be fit for;to suit;to fall into;to plunge into;to be deceived;to be taken in;to fall into a trap;to be addicted to;to be deep into
歯磨,はみがき,hamigaki,dentifrice;toothpaste
填める,はめる,hameru,to get in;to insert;to put on;to make love
早い,はやい,hayai,early
速い,はやい,hayai,quick;fast;swift
早口,はやくち,hayakuchi,fast-talking
林,はやし,hayashi,woods;forest
生やす,はやす,hayasu,to grow;to cultivate;to wear beard
早める,はやめる,hayameru,to hasten;to quicken;to expedite;to precipitate;to accelerate
流行,はやり,hayari,fashionable;fad;in vogue;prevailing
流行る,はやる,hayaru,to flourish;to thrive;to be popular;to come into fashion
腹,はら,hara,abdomen;belly;stomach
払い込む,はらいこむ,haraikomu,to deposit;to pay in
払い戻す,はらいもどす,haraimodosu,to repay;to pay back
払う,はらう,harau,to pay;to brush;to wipe
腹立ち,はらだち,haradachi,anger
原っぱ,はらっぱ,harapa,open field;empty lot;plain
針,はり,hari,needle;fish hook;pointer;hand (e.g. clock)
針金,はりがね,harigane,wire
張り紙,はりがみ,harigami,paper patch;paper backing;poster
張り切る,はりきる,harikiru,to be in high spirits;to be full of vigor;to be enthusiastic;to be eager;to stretch to breaking point
春,はる,haru,spring
貼る,はる,haru,to stick;to paste
張る,はる,haru,to stick;to paste;to put;to affix;to stretch;to spread;to strain;to stick out;to slap;to be expensive;to tighten
遥か,はるか,haruka,far;far-away;distant;remote;far off
晴れ,はれ,hare,clear weather
破裂,はれつ,haretsu,explosion;rupture;break off
腫れる,はれる,hareru,to swell (from inflammation);to become swollen
晴れる,はれる,hareru,to be sunny;to clear away;to stop raining
班,はん,han,group;party;section (mil)
判,はん,han,seal;stamp;monogram signature;judgment
版,はん,han,edition
半,はん,han,half
範囲,はんい,hani,extent;scope;sphere;range
繁栄,はんえい,hanei,prospering;prosperity;thriving;flourishing
反映,はんえい,hanei,reflection;influence
反感,はんかん,hankan,antipathy;revolt;animosity
版画,はんが,hanga,art print
反響,はんきょう,hankyou,echo;reverberation;repercussion;reaction;influence
半径,はんけい,hankei,radius
判決,はんけつ,hanketsu,judicial decision;judgement;sentence;decree
反撃,はんげき,hangeki,counterattack;counteroffensive;counterblow
判子,はんこ,hanko,seal (used for signature)
反抗,はんこう,hankou,opposition;resistance;insubordination;defiance;hostility;rebellion
犯罪,はんざい,hanzai,crime
反射,はんしゃ,hansha,reflection;reverberation
繁殖,はんしょく,hanshoku,breed;multiply;increase;propagation
判事,はんじ,hanji,judge;judiciary
繁盛,はんじょう,hanjyou,prosperity;flourishing;thriving
反する,はんする,hansuru,to be inconsistent with;to oppose;to contradict;to transgress;to rebel
反省,はんせい,hansei,reflection;reconsideration;introspection;meditation;contemplation
反対,はんたい,hantai,opposition;resistance;antagonism;hostility;contrast;objection;dissension;reverse;opposite;vice versa
判断,はんだん,handan,judgement;decision;adjudication;conclusion;decipherment;divination
判定,はんてい,hantei,judgement;decision;award;verdict
半島,はんとう,hantou,peninsula
犯人,はんにん,hannin,offender;criminal
反応,はんのう,hannou,reaction;response
販売,はんばい,hanbai,sale;selling;marketing
半端,はんぱ,hanpa,remnant;fragment;incomplete set;fraction;odd sum;incompleteness
反発,はんぱつ,hanpatsu,repelling;rebound;recover;oppose
半分,はんぶん,hanbun,half
反乱,はんらん,hanran,insurrection;mutiny;rebellion;revolt;uprising
氾濫,はんらん,hanran,overflowing;flood
場,ば,ba,place;field (physics)
場,ば,ba,place;field (physics)
場合,ばあい,baai,case;situation
倍,ばい,bai,twice;times;-fold;double;be doubled;increase
黴菌,ばいきん,baikin,bacteria;germ(s)
賠償,ばいしょう,baishou,reparations;indemnity;compensation
売店,ばいてん,baiten,shop;stand
売買,ばいばい,baibai,trade;buying and selling
倍率,ばいりつ,bairitsu,diameter;magnification
馬鹿,ばか,baka,fool;idiot;trivial matter;folly
馬鹿馬鹿しい,ばかばかしい,bakabakashii,stupid
馬鹿らしい,ばからしい,bakarashii,absurd
漠然,ばくぜん,bakuzen,obscure;vague;equivocal
莫大,ばくだい,bakudai,enormous;vast
爆弾,ばくだん,bakudan,bomb
爆破,ばくは,bakuha,blast;explosion;blow up
爆発,ばくはつ,bakuhatsu,explosion;detonation;eruption
暴露,ばくろ,bakuro,disclosure;exposure;revelation
化ける,ばける,bakeru,to appear in disguise;to take the form of;to change for the worse
場所,ばしょ,basho,place;location
罰,ばち,bachi,(divine) punishment;curse;retribution
罰する,ばっする,bassuru,to punish;to penalize
,ばったり,battari,with a clash (thud);with a bang;plump;flop;suddenly;abruptly;unexpectedly
伐,ばつ,batsu,strike;attack;punish
,ばてる,bateru,to be exhausted;to be worn out
発条,ばね,bane,spring (e.g. coil  leaf)
場面,ばめん,bamen,scene;setting (e.g. of novel)
散蒔く,ばらまく,baramaku,to disseminate;to scatter;to give money freely
晩,ばん,ban,evening
判,ばん,ban,size (of paper or books)
万,ばん,ban,many;all
万,ばん,ban,many;all
番組,ばんぐみ,bangumi,program (e.g. TV)
番号,ばんごう,bangou,number;series of digits
万歳,ばんざい,banzai,hurrah;longlife;congratulations;cheers
万人,ばんじん,banjin,all people;everybody;10000 people
番地,ばんち,banchi,house number;address
晩年,ばんねん,bannen,(one's) last years
万能,ばんのう,bannou,all-purpose;almighty;omnipotent
番目,ばんめ,banme,cardinal number suffix
日,ひ,hi,sun;sunshine;day
日,ひ,hi,sun;sunshine;day
火,ひ,hi,fire;flame;blaze
火,ひ,hi,fire;flame;blaze
日,ひ,hi,sun;sunshine;day
日,ひ,hi,sun;sunshine;day
日,ひ,hi,sun;sunshine;day
非,ひ,hi,faulty-;non-
費,ひ,hi,cost;expense
延いては,ひいては,hiiteha,not only...but also;in addition to;consequently
冷える,ひえる,hieru,to grow cold;to get chilly;to cool down
控室,ひかえしつ,hikaeshitsu,waiting room
控える,ひかえる,hikaeru,to draw in;to hold back;to make notes;to be temperate in
比較,ひかく,hikaku,comparison
比較的,ひかくてき,hikakuteki,comparatively;relatively
日陰,ひかげ,hikage,shadow
光,ひかり,hikari,light
光,ひかり,hikari,light
光る,ひかる,hikaru,to shine;to glitter;to be bright
悲観,ひかん,hikan,pessimism;disappointment
被害,ひがい,higai,damage
日帰り,ひがえり,higaeri,day trip
匹,ひき,hiki,head;small animal counter;roll of cloth
引き上げる,ひきあげる,hikiageru,to withdraw;to leave;to pull out;to retire
率いる,ひきいる,hikiiru,to lead;to spearhead (a group);to command (troops)
引き受ける,ひきうける,hikiukeru,to undertake;to take up;to take over;to be responsible for;to guarantee;to contract (disease)
引き起こす,ひきおこす,hikiokosu,to cause
引き返す,ひきかえす,hikikaesu,to repeat;to send back;to bring back;to retrace one's steps
引き下げる,ひきさげる,hikisageru,to pull down;to lower;to reduce;to withdraw
引算,ひきざん,hikizan,subtraction
引きずる,ひきずる,hikizuru,to seduce;to drag along;to pull;to prolong;to support
引き出し,ひきだし,hikidashi,drawer;drawing out
引き出す,ひきだす,hikidasu,to pull out;to take out;to draw out;to withdraw
引き止める,ひきとめる,hikitomeru,to detain;to check;to restrain
引き取る,ひきとる,hikitoru,to take charge of;to take over;to retire to a private place
卑怯,ひきょう,hikyou,cowardice;meanness;unfairness
引き分け,ひきわけ,hikiwake,a draw (in competition);tie game
引く,ひく,hiku,minus;to pull;to play (string instr.)
轢く,ひく,hiku,to run somebody over (with vehicle);to knock someone down
低い,ひくい,hikui,short;low;humble;low (voice)
否決,ひけつ,hiketsu,rejection;negation;voting down
髭,ひげ,hige,moustache;beard;whiskers
悲劇,ひげき,higeki,tragedy
非行,ひこう,hikou,delinquency;misconduct
飛行,ひこう,hikou,aviation
飛行場,ひこうじょう,hikoujyou,airport
日頃,ひごろ,higoro,normally;habitually
久しい,ひさしい,hisashii,long;long-continued;old (story)
久し振り,ひさしぶり,hisashiburi,after a long time
悲惨,ひさん,hisan,misery
膝,ひざ,hiza,knee;lap
陽射,ひざし,hizashi,sunlight;rays of the sun
秘書,ひしょ,hisho,(private) secretary
肘,ひじ,hiji,elbow
比重,ひじゅう,hijyuu,specific gravity
非常,ひじょう,hijyou,emergency;extraordinary;unusual
非常,ひじょう,hijyou,emergency;extraordinary;unusual
密か,ひそか,hisoka,secret;private;surreptitious
浸す,ひたす,hitasu,to soak;to dip;to drench
一向,ひたすら,hitasura,earnestly
左,ひだり,hidari,left hand side
左利き,ひだりきき,hidarikiki,left-handedness;sake drinker;left-hander
引っ掛かる,ひっかかる,hikkakaru,to be caught in;to be stuck in;to be cheated
引っ掻く,ひっかく,hikkaku,to scratch
引っ掛ける,ひっかける,hikkakeru,1.  to hang (something) on (something);to throw on (clothes); 2.  to hook;to catch;to trap;to ensnare; 3.  to cheat;to evade payment;to jump a bill; 4.  to drink (alcohol); 5.  to spit at (a person); 6.  to hit the ball off the end of the bat (baseball)
筆記,ひっき,hiki,(taking) notes;copying
引っ繰り返す,ひっくりかえす,hikkurikaesu,to turn over;to overturn;to knock over;to upset;to turn inside out
引っ繰り返る,ひっくりかえる,hikkurikaeru,to be overturned;to be upset;to topple over;to be reversed
引越し,ひっこし,hikkoshi,moving (dwelling  office  etc.);changing residence
引っ越す,ひっこす,hikkosu,to move;to change residence
引っ込む,ひっこむ,hikkomu,to draw back;to sink;to cave in
必死,ひっし,hishi,inevitable death;desperation;frantic;inevitable result
筆者,ひっしゃ,hisha,writer;author
必修,ひっしゅう,hishuu,required (subject)
匹敵,ひってき,hitteki,comparing with;match;rival;equal
引っ張る,ひっぱる,hipparu,1.  to pull;to draw;to stretch;to drag; 2.  to pull the ball (baseball)
未,ひつじ,hitsuji,eighth sign of Chinese zodiac (The Ram  1pm-3pm  south-southwest  June)
必需品,ひつじゅひん,hitsujyuhin,necessities;necessary article;requisite;essential
必然,ひつぜん,hitsuzen,inevitable;necessary
必要,ひつよう,hitsuyou,necessary;essential;indispensable
否定,ひてい,hitei,negation;denial;repudiation
一息,ひといき,hitoiki,puffy;a breath;a pause;an effort
単,ひとえ,hitoe,one layer;single
人柄,ひとがら,hitogara,personality;character;personal appearance;gentility
一頃,ひところ,hitokoro,once;some time ago
人込み,ひとごみ,hitogomi,crowd of people
人差指,ひとさしゆび,hitosashiyubi,index finger
等しい,ひとしい,hitoshii,equal
人質,ひとじち,hitojichi,hostage;prisoner
一筋,ひとすき,hitosuki,a line;earnestly;blindly;straightforwardly
一つ,ひとつ,hitotsu,one
一通り,ひととおり,hitotoori,ordinary;usual;in general;briefly
人通り,ひとどおり,hitodoori,pedestrian traffic
一まず,ひとまず,hitomazu,for the present;once;in outline
瞳,ひとみ,hitomi,pupil (of eye)
一休み,ひとやすみ,hitoyasumi,a rest
独り,ひとり,hitori,alone;unmarried
独り言,ひとりごと,hitorigoto,a soliloquy;a monologue;speaking to oneself
一人でに,ひとりでに,hitorideni,by itself;automatically;naturally
一人一人,ひとりひとり,hitorihitori,one by one;each;one at a time
酷い,ひどい,hidoi,cruel;awful;severe;very bad;serious;terrible;heavy;violent
日取り,ひどり,hidori,fixed date;appointed day
雛,ひな,hina,young bird;chick;doll
日向,ひなた,hinata,sunny place;in the sun
雛祭,ひなまつり,hinamatsuri,Girls' (dolls') Festival
非難,ひなん,hinan,blame;attack;criticism
避難,ひなん,hinan,taking refuge;finding shelter
皮肉,ひにく,hiniku,cynicism;sarcasm
日日,ひにち,hinichi,the number of days
捻る,ひねる,hineru,to turn (a switch) on or off;to twist;to puzzle over
日の入り,ひのいり,hinoiri,sunset
日の出,ひので,hinode,sunrise
日の丸,ひのまる,hinomaru,the Japanese flag
批判,ひはん,hihan,criticism;judgement;comment
火花,ひばな,hibana,spark
批評,ひひょう,hihyou,criticism;review;commentary
日々,ひび,hibi,every day;daily;day after day
響き,ひびき,hibiki,echo;sound;reverberation;noise
響く,ひびく,hibiku,to resound
皮膚,ひふ,hifu,skin
秘密,ひみつ,himitsu,secret;secrecy
悲鳴,ひめい,himei,shriek;scream
紐,ひも,himo,string;cord;pimp
百,ひゃく,hyaku,(num) 100;hundred
百科事典,ひゃっかじてん,hyakkajiten,encyclopedia
百科辞典,ひゃっかじてん,hyakkajiten,encyclopedia
冷やかす,ひやかす,hiyakasu,to banter;to make fun of;to jeer at;to cool;to refrigerate
日焼け,ひやけ,hiyake,sunburn
冷やす,ひやす,hiyasu,to cool;to refrigerate
票,ひょう,hyou,label;ballot;ticket;sign
評価,ひょうか,hyouka,valuation;estimation;assessment;evaluation
表現,ひょうげん,hyougen,expression;presentation;representation (math)
標語,ひょうご,hyougo,motto;slogan;catchword
表紙,ひょうし,hyoushi,front cover;binding
標識,ひょうしき,hyoushiki,sign;mark
標準,ひょうじゅん,hyoujyun,standard;level
表情,ひょうじょう,hyoujyou,facial expression
評判,ひょうばん,hyouban,fame;reputation;popularity;arrant
標本,ひょうほん,hyouhon,example;specimen
表面,ひょうめん,hyoumen,surface;outside;face;appearance
評論,ひょうろん,hyouron,criticism;critique
,ひょっと,hyoto,possibly;accidentally
費用,ひよう,hiyou,cost;expense
平仮名,ひらがな,hiragana,hiragana;47 syllables;the cursive syllabary
開く,ひらく,hiraku,to open (e.g. a festival)
平たい,ひらたい,hiratai,flat;even;level;simple;plain
比率,ひりつ,hiritsu,ratio;proportion;percentage
肥料,ひりょう,hiryou,manure;fertilizer
昼,ひる,hiru,noon;daytime
昼寝,ひるね,hirune,nap (at home);siesta
比例,ひれい,hirei,proportion
広い,ひろい,hiroi,spacious;vast;wide
疲労,ひろう,hirou,fatigue;weariness
拾う,ひろう,hirou,to pick up;to find;to gather
広がる,ひろがる,hirogaru,to spread (out);to extend;to stretch;to reach to;to get around
広げる,ひろげる,hirogeru,to spread;to extend;to expand;to enlarge;to widen;to broaden;to unfold;to open;to unroll
広さ,ひろさ,hirosa,extent
広場,ひろば,hiroba,plaza
広々,ひろびろ,hirobiro,extensive;spacious
広まる,ひろまる,hiromaru,to spread;to be propagated
広める,ひろめる,hiromeru,to broaden;to propagate
貧困,ひんこん,hinkon,poverty;lack
品質,ひんしつ,hinshitsu,quality
品種,ひんしゅ,hinshu,brand;kind;description
貧弱,ひんじゃく,hinjyaku,poor;meagre;insubstantial
頻繁,ひんぱん,hinpan,frequency
美,び,bi,beauty
微笑,びしょう,bishou,smile
美術,びじゅつ,bijyutsu,art;fine arts
美人,びじん,bijin,beautiful person (woman)
吃驚,びっくり,bikkuri,be surprised;be amazed;be frightened;astonishment
,びっしょり,bishori,wet through;drenched
微妙,びみょう,bimyou,delicate;subtle
秒,びょう,byou,second (60th min)
病院,びょういん,byouin,hospital
病気,びょうき,byouki,illness;disease;sickness
描写,びょうしゃ,byousha,depiction;description;portrayal
平等,びょうどう,byoudou,equality (a);impartiality;evenness
美容,びよう,biyou,beauty of figure or form
,びり,biri,last on the list;at the bottom
微量,びりょう,biryou,minuscule amount;extremely small quantity
便,びん,bin,mail;post;flight (e.g. airline flight);service;opportunity;chance;letter
便,びん,bin,mail;post;flight (e.g. airline flight);service;opportunity;chance;letter
敏感,びんかん,binkan,sensibility;susceptibility;sensitive (to);well attuned to
便箋,びんせん,binsen,writing paper;stationery
瓶詰,びんづめ,bindume,bottling;bottled
貧乏,びんぼう,binbou,poverty;destitute;poor
,ぴかぴか,pikapika,glitter;sparkle
,ぴったり,pittari,exactly;neatly;sharp
歩,ふ,fu,pawn (in chess or shogi)
不安,ふあん,fuan,anxiety;uneasiness;insecurity;suspense
不意,ふい,fui,sudden;abrupt;unexpected;unforeseen
封,ふう,fuu,seal
風景,ふうけい,fuukei,scenery
封鎖,ふうさ,fuusa,blockade;freezing (funds)
風習,ふうしゅう,fuushuu,custom
風船,ふうせん,fuusen,balloon
風俗,ふうぞく,fuuzoku,1.  manners;customs; 2.  sex service;sex industry
封筒,ふうとう,fuutou,envelope
風土,ふうど,fuudo,natural features;topography;climate;spiritual features
夫婦,ふうふ,fuufu,married couple;spouses;husband and wife;couple;pair
不運,ふうん,fuun,unlucky;misfortune;bad luck;fate
笛,ふえ,fue,flute;pipe
増える,ふえる,fueru,to increase;to multiply
殖える,ふえる,fueru,to increase;to multiply
不可,ふか,fuka,wrong;bad;improper;unjustifiable;inadvisable
深い,ふかい,fukai,deep;profound;thick;close
不可欠,ふかけつ,fukaketsu,indispensable;essential
深まる,ふかまる,fukamaru,to deepen;to heighten;to intensify
深める,ふかめる,fukameru,to deepen;to heighten;to intensify
不規則,ふきそく,fukisoku,irregularity;unsteadiness;disorderly
不吉,ふきつ,fukitsu,ominous;sinister;bad luck;ill omen;inauspiciousness
